text,condition,list,trigger
embargo,negative,1,1
denigrar,negative,1,1
pegar,negative,1,1
oloroso,negative,1,1
abuso,negative,1,1
binario,neutral,1,2
garganta,neutral,1,2
metro,neutral,1,2
embalar,neutral,1,2
nivel,neutral,1,2
decidir,positive,1,3
flirtear,positive,1,3
tacto,positive,1,3
regalar,positive,1,3
explicar,positive,1,3
atacar,negative,2,1
destrozar,negative,2,1
tosco,negative,2,1
eructo,negative,2,1
aversivo,negative,2,1
espeso,neutral,2,2
humedecer,neutral,2,2
arroz,neutral,2,2
grueso,neutral,2,2
diminuto,neutral,2,2
paella,positive,2,3
divertido,positive,2,3
salir,positive,2,3
suerte,positive,2,3
rescatar,positive,2,3
cucaracha,negative,3,1
enojo,negative,3,1
vejatorio,negative,3,1
necio,negative,3,1
farsa,negative,3,1
giratorio,neutral,3,2
hecho,neutral,3,2
conservar,neutral,3,2
forma,neutral,3,2
igual,neutral,3,2
perfumado,positive,3,3
culto,positive,3,3
bondadoso,positive,3,3
listo,positive,3,3
volar,positive,3,3
crisis,negative,4,1
gordura,negative,4,1
armar,negative,4,1
sospecha,negative,4,1
temer,negative,4,1
tentar,neutral,4,2
oscilar,neutral,4,2
tecla,neutral,4,2
calentar,neutral,4,2
linea,neutral,4,2
probar,positive,4,3
excitar,positive,4,3
calma,positive,4,3
merienda,positive,4,3
danza,positive,4,3
quemar,negative,5,1
despistado,negative,5,1
desamor,negative,5,1
acatar,negative,5,1
sangrar,negative,5,1
aludir,neutral,5,2
muestrario,neutral,5,2
remover,neutral,5,2
reinar,neutral,5,2
abierto,neutral,5,2
sentir,positive,5,3
apasionado,positive,5,3
sonrisa,positive,5,3
piropo,positive,5,3
navegar,positive,5,3
trastorno,negative,6,1
mutilado,negative,6,1
disputa,negative,6,1
insultado,negative,6,1
tristeza,negative,6,1
universal,neutral,6,2
temporal,neutral,6,2
parcial,neutral,6,2
suscribir,neutral,6,2
alicatar,neutral,6,2
acariciar,positive,6,3
cooperar,positive,6,3
aclamar,positive,6,3
despierto,positive,6,3
reformar,positive,6,3
psicosis,negative,7,1
conflicto,negative,7,1
desangrar,negative,7,1
alarmar,negative,7,1
morder,negative,7,1
ejecutar,neutral,7,2
generador,neutral,7,2
engatusar,neutral,7,2
modular,neutral,7,2
maceta,neutral,7,2
broma,positive,7,3
atardecer,positive,7,3
bienestar,positive,7,3
lealtad,positive,7,3
premio,positive,7,3
hambre,negative,8,1
locura,negative,8,1
viudo,negative,8,1
grasa,negative,8,1
pedo,negative,8,1
llamar,neutral,8,2
formal,neutral,8,2
acera,neutral,8,2
cocer,neutral,8,2
seco,neutral,8,2
bailar,positive,8,3
lograr,positive,8,3
aroma,positive,8,3
besar,positive,8,3
rico,positive,8,3
negativo,negative,9,1
mentir,negative,9,1
ausencia,negative,9,1
desfavorable,negative,9,1
bochorno,negative,9,1
ondulado,neutral,9,2
apodar,neutral,9,2
advertir,neutral,9,2
esquematizar,neutral,9,2
imprimir,neutral,9,2
asombrar,positive,9,3
teatro,positive,9,3
divertir,positive,9,3
sensibilidad,positive,9,3
humildad,positive,9,3
rudo,negative,10,1
sobornar,negative,10,1
agredir,negative,10,1
padecer,negative,10,1
martirio,negative,10,1
cosa,neutral,10,2
preparar,neutral,10,2
elevado,neutral,10,2
esbozar,neutral,10,2
enroscar,neutral,10,2
amar,positive,10,3
chistoso,positive,10,3
camping,positive,10,3
dichoso,positive,10,3
comenzar,positive,10,3
